Suburbs,Number,Percentage of total
Tewantin,1,0.003644713
Kingsthorpe,2,0.007289427
Croydon,3,0.01093414
Anakie,1,0.003644713
Yarrabilba,1,0.003644713
Tara,5,0.018223567
Zillmere,1,0.003644713
Kilcoy,1,0.003644713
Clermont,4,0.014578853
Redbank Plains,1,0.003644713
Paddington,1,0.003644713
Point Vernon,1,0.003644713
Dajarra,2,0.007289427
Wowan,1,0.003644713
Weipa,1,0.003644713
Mirani,1,0.003644713
East Toowoomba,2,0.007289427
Barcaldine,5,0.018223567
Middle Park,1,0.003644713
Rochedale South,1,0.003644713
Rangeville,2,0.007289427
Hendra,1,0.003644713
Gin Gin,1,0.003644713
Smithfield,1,0.003644713
Macgregor,2,0.007289427
Leichhardt,3,0.01093414
Dunwich,1,0.003644713
Smithfield Ht,1,0.003644713
Graceville,1,0.003644713
Petrie,2,0.007289427
North Mackay,1,0.003644713
Vincent,1,0.003644713
Spring Hill,1,0.003644713
Woody Point,1,0.003644713
Mitchelton,1,0.003644713
Gailes,1,0.003644713
Murrumba Downs,1,0.003644713
Augathella,1,0.003644713
Slacks Creek,1,0.003644713
Scarborough,2,0.007289427
Marlborough,1,0.003644713
The Gemfields,1,0.003644713
Seventeen Mile Rks,1,0.003644713
Middlemount,1,0.003644713
Dalveen,1,0.003644713
